ARSON
    index         ds       yhat  yhat_lower  yhat_upper
0      96 2013-01-01  20.280718    7.986291   32.800950
1      97 2013-02-01  33.634386   20.730717   45.962272
2      98 2013-03-01  51.128973   39.246419   61.859034
3      99 2013-04-01  34.061227   21.809677   46.735268
4     100 2013-05-01  38.754744   27.097249   51.057589
5     101 2013-06-01  42.392693   29.548763   54.359011
6     102 2013-07-01  41.087734   28.717617   53.334980
7     103 2013-08-01  39.489931   27.013118   51.630539
8     104 2013-09-01  40.701318   28.632270   52.849200
9     105 2013-10-01  31.878096   20.271349   43.997646
10    106 2013-11-01  40.606832   28.416378   52.221958
11    107 2013-12-01  26.191375   13.829881   38.299435
12    108 2014-01-01  21.776120   10.376047   34.094958
13    109 2014-02-01  16.917325    5.362887   29.284008
14    110 2014-03-01  40.781550   28.235901   52.660691
15    111 2014-04-01  30.476231   17.574438   42.532322
16    112 2014-05-01  34.055249   21.617546   45.739480
17    113 2014-06-01  43.778111   32.074823   55.799913
18    114 2014-07-01  41.045314   29.357982   53.613064
19    115 2014-08-01  41.826219   29.650701   53.256685
20    116 2014-09-01  29.044326   17.002512   41.894988
21    117 2014-10-01  31.833739   18.606515   44.658767
22    118 2014-11-01  30.434114   17.929185   42.699803
23    119 2014-12-01  17.177503    5.596454   29.525470
ASSAULT
    index         ds         yhat   yhat_lower   yhat_upper
0      96 2013-01-01  1254.359257  1082.605687  1418.975962
1      97 2013-02-01  1171.856981  1013.098298  1342.124973
2      98 2013-03-01  1627.171525  1465.464322  1802.819871
3      99 2013-04-01  1707.822163  1536.733596  1878.317850
4     100 2013-05-01  1885.510797  1708.500766  2052.927482
5     101 2013-06-01  1793.875575  1613.337916  1976.941294
6     102 2013-07-01  1871.958792  1705.292571  2033.103613
7     103 2013-08-01  1795.794908  1613.858049  1946.362405
8     104 2013-09-01  1683.352691  1506.260619  1856.530242
9     105 2013-10-01  1606.006031  1441.955811  1768.875284
10    106 2013-11-01  1289.278806  1117.571942  1469.971710
11    107 2013-12-01  1144.958180   981.966447  1317.061183
12    108 2014-01-01  1154.576994   968.318247  1322.577568
13    109 2014-02-01  1063.928998   896.590915  1236.159145
14    110 2014-03-01  1516.657572  1341.449405  1695.879038
15    111 2014-04-01  1584.728713  1409.312936  1743.406573
16    112 2014-05-01  1851.395792  1677.780613  2024.742353
17    113 2014-06-01  1730.371330  1573.253110  1902.097165
18    114 2014-07-01  1799.874583  1621.081020  1976.087242
19    115 2014-08-01  1704.269388  1524.358976  1876.893834
20    116 2014-09-01  1634.239555  1453.469764  1796.607259
21    117 2014-10-01  1522.758973  1355.598790  1695.741294
22    118 2014-11-01  1173.629647   998.049807  1362.313352
23    119 2014-12-01  1100.153049   906.672640  1269.271358
ROBBERY
    index         ds         yhat   yhat_lower   yhat_upper
0      96 2013-01-01   954.414264   838.027684  1075.381372
1      97 2013-02-01   691.256098   567.151862   820.852441
2      98 2013-03-01   891.942649   763.896871  1013.529940
3      99 2013-04-01   880.508657   761.538642   993.734350
4     100 2013-05-01  1093.606732   987.003656  1209.210480
5     101 2013-06-01  1082.069838   960.509815  1195.116036
6     102 2013-07-01  1192.740031  1072.796754  1311.722715
7     103 2013-08-01  1172.058311  1045.156886  1292.508472
8     104 2013-09-01  1134.017748  1009.835228  1258.462972
9     105 2013-10-01  1217.408095  1100.329836  1342.710680
10    106 2013-11-01  1156.670554  1036.310635  1274.385614
11    107 2013-12-01  1083.434096   958.344291  1205.272194
12    108 2014-01-01   926.202124   801.460545  1043.201326
13    109 2014-02-01   580.576691   453.129723   702.057410
14    110 2014-03-01   790.461962   668.349112   908.160553
15    111 2014-04-01   838.466919   713.447905   956.348382
16    112 2014-05-01  1004.181273   876.417740  1124.269281
17    113 2014-06-01  1014.134838   893.923182  1142.159030
18    114 2014-07-01  1140.286209  1010.822096  1261.165005
19    115 2014-08-01  1155.253751  1050.928421  1281.398636
20    116 2014-09-01  1036.800158   920.558607  1156.745124
21    117 2014-10-01  1188.295356  1066.599760  1299.852954
22    118 2014-11-01  1063.160624   938.770508  1184.935204
23    119 2014-12-01   993.409724   878.074033  1116.866880
CRIMINAL DAMAGE
    index         ds         yhat   yhat_lower   yhat_upper
0      96 2013-01-01  1731.732351  1290.699550  2167.990280
1      97 2013-02-01  1643.076009  1224.630942  2090.208433
2      98 2013-03-01  2586.367426  2154.449622  3029.552024
3      99 2013-04-01  2546.098646  2096.191690  3000.977022
4     100 2013-05-01  2948.773331  2518.017168  3423.543528
5     101 2013-06-01  2791.672871  2351.284348  3226.740671
6     102 2013-07-01  2909.234100  2467.127965  3318.574348
7     103 2013-08-01  2834.245573  2416.226012  3267.252020
8     104 2013-09-01  2620.745219  2159.107671  3078.505974
9     105 2013-10-01  2809.543180  2399.809965  3265.624095
10    106 2013-11-01  2460.044293  2023.063435  2868.311403
11    107 2013-12-01  1831.051314  1396.099974  2243.452135
12    108 2014-01-01  1571.860751  1167.188331  2022.187083
13    109 2014-02-01  1198.014919   716.830858  1672.155218
14    110 2014-03-01  2154.401722  1736.272240  2632.602920
15    111 2014-04-01  2267.198491  1805.598613  2733.189896
16    112 2014-05-01  2496.932448  1996.558311  2928.735336
17    113 2014-06-01  2499.905420  2064.818733  2930.289609
18    114 2014-07-01  2598.013156  2156.748825  3023.709715
19    115 2014-08-01  2560.376589  2116.291929  2992.109255
20    116 2014-09-01  2100.037305  1596.739081  2505.851089
21    117 2014-10-01  2554.992720  2079.203075  2990.562524
22    118 2014-11-01  2009.279844  1542.122510  2495.372734
23    119 2014-12-01  1230.268620   805.250980  1656.557406
HOMICIDE
    index         ds       yhat  yhat_lower  yhat_upper
0      96 2013-01-01  22.560668   10.209612   34.467720
1      97 2013-02-01  24.355716   12.373489   36.715976
2      98 2013-03-01  35.514667   23.596359   48.307302
3      99 2013-04-01  38.950903   26.971422   50.517178
4     100 2013-05-01  43.808337   32.512211   55.937822
5     101 2013-06-01  48.196895   36.440635   61.341805
6     102 2013-07-01  53.276447   41.751447   65.724830
7     103 2013-08-01  48.124383   36.796744   61.126060
8     104 2013-09-01  43.738403   31.873145   54.925569
9     105 2013-10-01  40.826281   29.811434   53.288244
10    106 2013-11-01  37.345565   26.064320   49.963130
11    107 2013-12-01  30.753980   18.518756   41.282031
