date,rate of arrest
pre,2019-07-01,0.17888888888888888
pre,2019-07-02,0.24317295188556567
pre,2019-07-03,0.21321695760598502
pre,2019-07-04,0.23375
pre,2019-07-05,0.23370786516853934
pre,2019-07-06,0.25030674846625767
pre,2019-07-07,0.23772609819121446
pre,2019-07-08,0.1963855421686747
pre,2019-07-09,0.22476446837146702
pre,2019-07-10,0.2021531100478469
pre,2019-07-11,0.18193717277486912
pre,2019-07-12,0.22010178117048346
pre,2019-07-13,0.21973094170403587
pre,2019-07-14,0.19416243654822335
pre,2019-07-15,0.19366626065773446
pre,2019-07-16,0.20689655172413793
pre,2019-07-17,0.21571072319201995
pre,2019-07-18,0.1831357048748353
pre,2019-07-19,0.21223470661672908
pre,2019-07-20,0.23728813559322035
pre,2019-07-21,0.21216041397153945
pre,2019-07-22,0.17468354430379746
pre,2019-07-23,0.19974554707379136
pre,2019-07-24,0.19865771812080538
pre,2019-07-25,0.19774718397997496
pre,2019-07-26,0.24142156862745098
pre,2019-07-27,0.1890909090909091
pre,2019-07-28,0.22623345367027678
pre,2019-07-29,0.2147239263803681
pre,2019-07-30,0.2190721649484536
pre,2019-07-31,0.18653576437587657
pre,2019-08-01,0.19308035714285715
pre,2019-08-02,0.2034090909090909
pre,2019-08-03,0.19815668202764977
pre,2019-08-04,0.18527315914489312
pre,2019-08-05,0.20668316831683167
pre,2019-08-06,0.2071611253196931
pre,2019-08-07,0.2506426735218509
pre,2019-08-08,0.22616136919315402
pre,2019-08-09,0.22138364779874214
pre,2019-08-10,0.19799498746867167
pre,2019-08-11,0.2119700748129676
pre,2019-08-12,0.18758815232722145
pre,2019-08-13,0.20866141732283464
pre,2019-08-14,0.22348484848484848
pre,2019-08-15,0.218249075215783
pre,2019-08-16,0.22868217054263565
pre,2019-08-17,0.21454993834771888
pre,2019-08-18,0.2147562582345191
pre,2019-08-19,0.21473951715374842
pre,2019-08-20,0.20467032967032966
pre,2019-08-21,0.24965325936199723
pre,2019-08-22,0.1843501326259947
pre,2019-08-23,0.2233632862644416
